Entity,Year,palm_oil_yield,sunflower_oil_yield,rapeseed_oil_yield,soybean_oil_yield,olive_oil_yield,coconut_oil_yield,groundnut_oil_yield,cottonseed_oil_yield,sesame_oil_yield,area_one_tonne_palm,area_one_tonne_sunflower,area_one_tonne_rapeseed,area_one_tonne_soybean,area_one_tonne_olive,area_one_tonne_coconut,area_one_tonne_groundnut,area_one_tonne_cottonseed,area_one_tonne_sesame,area_global_demand_palm,area_global_demand_sunflower,area_global_demand_rapeseed,area_global_demand_soybean,area_global_demand_olive,area_global_demand_coconut,area_global_demand_groundnut,area_global_demand_cottonseed,area_global_demand_sesame
Italy,2002,,,,,0.4912582602647727,,,,,,,,,2.035589181667971,,,,,,,,,459371410.6270111,,,,
Italy,2003,,,,,0.516449029124126,,,,,,,,,1.9362995060634625,,,,,,,,,436964709.5333416,,,,
Italy,2004,,,,,0.6814399656946827,,,,,,,,,1.4674807031321777,,,,,,,,,331166370.2758385,,,,
Italy,2005,,,,,0.57446089337669,,,,,,,,,1.7407625332370051,,,,,,,,,392837880.8755949,,,,
Italy,2006,,,,,0.5165447629942579,,,,,,,,,1.9359406418202645,,,,,,,,,436883724.6395791,,,,
Italy,2007,,,,,0.4944937230423202,,,,,,,,,2.022270361386199,,,,,,,,,456365752.45402354,,,,
Italy,2008,,,,,0.5141889030072003,,,,,,,,,1.944810543657331,,,,,,,,,438885395.38714993,,,,
Italy,2009,,,,,0.4348403361344538,,,,,,,,,2.2996946623893635,,,,,,,,,518972094.46140766,,,,
Italy,2010,,1.4517412935323384,2.82843137254902,1.9241379310344828,0.4423731944910984,,,,13.559322033898304,,0.6888279643591501,0.3535528596187174,0.5197132616487455,2.260534798340098,,,,0.07375,,155447806.7169294,79786273.83015597,117283691.7562724,510134887.9414099,,,,16643162.5
Italy,2011,,1.4483301854032034,1.6884358075820325,1.5630743273779035,0.473391808266531,,,,14.659685863874346,,0.6904502923976608,0.5922641509433962,0.6397648419429453,2.1124150915534554,,,,0.0682142857142857,,155813917.4853801,133656250.94339624,144375731.88126445,476708713.7108683,,,,15393917.857142856
Italy,2012,,1.273303605007253,2.9517502365184485,1.886360813893446,0.4495495751664768,,,,13.86138613861386,,0.7853586497890295,0.3387820512820513,0.5301212751212752,2.224448771038613,,,,0.0721428571428571,,177231886.4978903,76452945.51282051,119632468.15661816,501991354.1602839,,,,16280478.57142857
Italy,2013,,1.013100573541856,1.820219920999253,1.5422545154388363,0.4043203067846813,,,,18.47826086956522,,0.9870688321732404,0.549384164222874,0.6484014084507043,2.473286607720509,,,,0.0541176470588235,,222751823.3565352,123979524.34017596,146324745.84507042,558146588.7642872,,,,12212729.411764706
Italy,2014,,1.215087561742254,1.683096898292859,1.1938144949692313,0.2549430144262023,,,,17.77304964539007,,0.8229859571322986,0.5941428571428571,0.8376510791366907,3.922445187410567,,,,0.0562649640861931,,185723240.94604585,134080218.57142857,189032719.02877697,885178205.4429426,,,,12697314.445331205
Italy,2015,,1.1087908151228931,1.7152658662092624,0.8906754180704838,0.425319089066163,,,,16.58823529411765,,0.9018833727344366,0.5830000000000001,1.1227434593023256,2.3511759187569385,,,,0.0602836879432624,,203528020.7249803,131565610.0,253369516.4607558,530589869.5858783,,,,13604219.858156027
Italy,2016,,1.2870768452617507,1.3587357849652932,1.2237033951260154,0.2609640446238996,,,,13.934065934065934,,0.7769543859649123,0.7359782608695652,0.817191489361702,3.831945513571405,,,,0.0717665615141955,,175335296.28070176,166088214.13043478,184415603.4042553,864755144.0476589,,,,16195559.936908515
Italy,2017,,1.2914387571431067,1.4826700898587932,1.1466516964055866,0.3600678872713993,,,,15.540983606557376,,0.7743301759133965,0.6744588744588745,0.8721044089802542,2.77725405500062,,,,0.0643459915611814,,174743090.7983762,152205134.1991342,196807801.974574,626742922.59199,,,,14520959.915611817
Italy,2018,,1.4729950900163666,2.0013850415512464,1.213754248446064,0.2541169054039855,,,,,,0.6788888888888889,0.4996539792387544,0.8238900100908173,3.935196670250007,,,,,,153204855.55555555,112756913.4948097,185927258.57719475,888055832.575319,,,,
Italy,2019,,1.2664529193385083,1.886925795053004,1.5117257527530823,0.2953838187929476,,,,,,0.7896069287141905,0.5299625468164794,0.6614956437560504,3.3854257964650407,,,,,,178190595.60293138,119596647.9400749,149279721.92642787,763989039.4882658,,,,
