denominazione,codice_fiscale,p_iva,url_sito_venditore,telefono,nome_offerta,cod_offerta,url_offerta,modalita_attivazione,modalita_pagamento,data_inizio,data_fine,tipo_cliente,tipo_offerta,p_fix_f,p_fix_v,p_vol,alpha,regione,provincia,comune
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET FISSA GAS DOMESTICO,020237GSFMP02XXPLACETFISSAGASDOM,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,domestico,prezzo fisso,180.000000,,4.000000,,,,
2G energia srl,03925910618,03925910618,https://www.2genergia.it/,,PLACET FISSA GAS CONDOMINIO USO DOMESTICO,020237GSFMP02XXPLACETFISSAGASCON,,Offerta attivabile da qualsiasi canale,Domiciliazione bancaria;Domiciliazione su carta di credito;Bollettino precompilato,20/03/2026,05/04/2026,condominio,prezzo fisso,180.000000,,4.000000,,,,
5 G SRL,05817730657,05817730657,https://5genergia.it/,,PLACET PER LA TUA AZIENDA,B_PLCG_25929625_VAR,,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,04/01/2022,31/12/2050,non domestico,prezzo variabile,,90.000000,,0.100000,,,
5 G SRL,05817730657,05817730657,https://5genergia.it/,,PLACET PER LA TUA CASA,D_PLCG_25928461_VAR,,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,04/01/2022,31/12/2050,domestico,prezzo variabile,,80.000000,,0.100000,,,
5 G SRL,05817730657,05817730657,https://5genergia.it/,,PLACET CONDOMINIO,C_PLCG_25930207_VAR,,Offerta attivabile solo da web,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato,04/01/2022,31/12/2050,condominio,prezzo variabile,,90.000000,,0.100000,,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET FISSO GAS DOMESTICO,000657GSFMP01XX00000PLGFDO242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,domestico,prezzo fisso,240.000000,,2.507910,,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET VARIABILE GAS ALTRI USI,000657GSVMP01XX00000PLGVAU242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,non domestico,prezzo variabile,,340.000000,,0.507920,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET VARIABILE GAS CONDOMINIO,000657GSVMP01XX00000PLGVCO242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,condominio,prezzo variabile,,340.000000,,0.507920,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET VARIABILE GAS DOMESTICO,000657GSVMP01XX00000PLGVDO242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,domestico,prezzo variabile,,240.000000,,0.507920,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET FISSO GAS ALTRI USI,000657GSFMP01XX00000PLGFAU242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,non domestico,prezzo fisso,340.000000,,2.507910,,05,,
A.F. ENERGIA SRL,04245030285,04245030285,https://www.afenergia.it/,0495212963,PLACET FISSO GAS CONDOMINIO,000657GSFMP01XX00000PLGFCO242508,https://www.afenergia.it/offerta-luce-gas-placet,Offerta attivabile presso punto vendita,Domiciliazione bancaria,05/08/2025,31/07/2026,condominio,prezzo fisso,340.000000,,2.507910,,05,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Gas Condominio,000294GSVMP01XXPlacetVC260331135,https://condominio.a2aenergia.eu/placet-variabile-condominio,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,condominio,prezzo variabile,,144.000000,,0.200000,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Gas Domestico,000294GSVMP01XXPlacetVD260331134,https://casa.a2aenergia.eu/placetvariabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,domestico,prezzo variabile,,144.000000,,0.200000,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Gas Business,000294GSFMP01XXPlacetFB260331128,https://business.a2aenergia.eu/professionisti/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,non domestico,prezzo fisso,192.000000,,0.590000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Gas Domestico,000294GSFMP01XXPlacetFD260331129,https://casa.a2aenergia.eu/placetfissa,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,domestico,prezzo fisso,144.000000,,0.690000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET FISSA Gas Condominio,000294GSFMP01XXPlacetFC260331130,https://condominio.a2aenergia.eu/placet-fissa-condominio,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,condominio,prezzo fisso,144.000000,,0.690000,,,,
A2A ENERGIA SPA,12883420155,12883420155,https://www.a2a.it/,800199955,A2A PLACET VARIABILE Gas Business,000294GSVMP01XXPlacetVB260331133,https://business.a2aenergia.eu/professionisti/placetvariabile,Offerta attivabile solo da web;Offerta attivabile presso punto vendita;Teleselling,Domiciliazione bancaria;Domiciliazione postale;Domiciliazione su carta di credito;Bollettino precompilato,24/03/2026,07/04/2026,non domestico,prezzo variabile,,192.000000,,0.200000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,FISSA PLACET DOMESTICA 202604,042641GSFMP01XXTD000003FPL202604,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/04/2026,30/06/2026,domestico,prezzo fisso,180.000000,,1.000000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,VARIABILE PLACET ALTRI USI 202604,042641GSVMP01XXAU000003VPB202604,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/04/2026,30/06/2026,non domestico,prezzo variabile,,252.000000,,0.800000,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,FISSA PLACET ALTRI USI 202604,042641GSFMP01XXAU000003FPB202604,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/04/2026,30/06/2026,non domestico,prezzo fisso,252.000000,,1.000000,,,,
ABY POWER SRL,01482080452,01482080452,www.abypower.it,,VARIABILE PLACET DOMESTICA 202604,042641GSVMP01XXTD000003VPD202604,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria,01/04/2026,30/06/2026,domestico,prezzo variabile,,180.000000,,0.500000,,,
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS INDEX CD 0925_1,000694GSVMP01XXPLACETGINDEXCD003,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,06/09/2025,31/01/2027,condominio,prezzo variabile,,192.000000,,0.199900,,,012026;012073;017042;015195;015012;015074;015087;015116;015146;015154;015182;098057;108012;108013;108055;108055;108012;108013;016062;016115;020042;018180;045003;045010;067039;002122;002128;002042;006059;006097;006159;006177;005005;005012;005053;005066;005076;005093;005108;005118;005121;003026;003095;003106;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001283;001284;001286;001289;001290;001292;001295;001299;001300;001301;001302;001303;001306;001307;001308;001309;001310;001314;001315;096020;096049;096053;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;004110;004130;004143;004157;004166;004179;004203;004215;004222;004034;004237;004240;039014;072006;028055;023091;060019;007003;007020;007052;007073;009057;010009;010012;010025;011015
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS INDEX AU 0925_2,000694GSVMP01XXPLACETGINDEXAU003,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,06/09/2025,31/01/2027,non domestico,prezzo variabile,,192.000000,,0.199900,,,012026;012073;017042;015195;015012;015074;015087;015116;015146;015154;015182;098057;108012;108013;108055;108055;108012;108013;016062;016115;020042;018180;045003;045010;067039;002122;002128;002042;006059;006097;006159;006177;005005;005012;005053;005066;005076;005093;005108;005118;005121;003026;003095;003106;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001283;001284;001286;001289;001290;001292;001295;001299;001300;001301;001302;001303;001306;001307;001308;001309;001310;001314;001315;096020;096049;096053;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;004110;004130;004143;004157;004166;004179;004203;004215;004222;004034;004237;004240;039014;072006;028055;023091;060019;007003;007020;007052;007073;009057;010009;010012;010025;011015
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS INDEX DOM 0925,000694GSVMP01XXPLACETGINDEXDOM03,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,06/09/2025,31/01/2027,domestico,prezzo variabile,,144.000000,,0.199900,,,002122;002128;003026;003095;003106;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;108012;108013;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001283;001284;001286;001289;001290;001292;001295;001299;001300;001301;001302;001303;001306;001307;001308;001309;001310;001314;001315;002042;004110;004130;004143;004157;004166;004179;004203;004215;012026;012073;004222;004034;004237;004240;005005;005012;005053;005066;005076;096020;096049;096053;007003;007020;007052;007073;005093;005108;005118;005121;006059;006097;006159;006177;015195;016062;016115;017042;015012;015074;015087;015116;015146;015154;015182;018180;020042;098057;108012;108013;023091;108055;009057;010009;010012;010025;011015;028055;039014;045003;045010;060019;067039;072006;108055
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS FIX CD 0226,000694GSFMP01XXPLCTGFIXCD0000001,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,condominio,prezzo fisso,180.000000,,0.990000,,,,002122;002128;003026;003095;003106;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001283;001284;001286;001289;001290;001292;001295;001299;001300;001301;001302;001303;001306;001307;001308;001309;001310;001314;001315;002042;004110;004130;004143;004157;004166;004179;004203;004215;012026;012073;004222;004034;004237;004240;005005;005012;005053;005066;005076;096020;096049;096053;007003;007020;007052;007073;005093;005108;005118;005121;006059;006097;006159;006177;015195;016062;016115;017042;015012;015074;015087;015116;015146;015154;015182;018180;020042;098057;108012;108013;023091;108055;009057;010009;010012;010025;011015;028055;039014;045003;045010;060019;067039;072006;108055;108012;108013
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS FIX DOM 0226,000694GSFMP01XXPLCTGFIXDOM000001,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,domestico,prezzo fisso,120.000000,,0.990000,,,,002122;001283;002128;003026;003095;001284;001286;001289;001290;001292;001295;003106;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001299;001300;001301;001302;001303;045003;045010;001306;001307;001308;001309;001310;001314;001315;002042;004110;004130;004143;004157;004166;004179;004203;004215;012026;012073;004222;004034;004237;004240;005005;005012;005053;005066;005076;096020;096049;096053;007003;007020;007052;007073;005093;005108;005118;005121;006059;006097;006159;006177;015195;016062;016115;017042;015012;015074;015087;015116;015146;015154;015182;018180;020042;098057;108012;108013;023091;108055;009057;010009;010012;010025;011015;028055;039014;060019;067039;072006;108055;108012;108013
ACEA PINEROLESE ENERGIA  S.R.L.,08547890015,08547890015,https://www.aceapinerolese-energia.it/,800808055,ACEA PLACET GAS FIX AU 0226,000694GSFMP01XXPLCTGFIXAU0000001,https://www.aceapinerolese-energia.it/offerte-gas-placet/,Offerta attivabile presso punto vendita,Domiciliazione bancaria;Bollettino precompilato;Altro,01/02/2026,31/01/2027,non domestico,prezzo fisso,180.000000,,0.990000,,,,012026;012073;017042;015195;015012;015074;015087;015116;015146;015154;015182;098057;108012;108013;108055;108055;108012;108013;016062;016115;020042;018180;045003;045010;067039;002122;002128;002042;006059;006097;006159;006177;005005;005012;005053;005066;005076;005093;005108;005118;005121;003026;003095;003106;001001;001002;001006;001007;001008;001011;001013;001016;001017;001020;001021;001022;001024;001025;001028;001032;001033;001034;001035;001038;001039;001040;001041;001043;001044;001045;001046;001047;001048;001049;001050;001051;001053;001055;001058;001059;001062;001063;001065;001066;001068;001070;001071;001076;001077;001078;001081;001082;001086;001088;001089;001090;001093;001094;001097;001098;001099;001101;001103;001104;001106;001107;001110;001111;001112;001113;001115;001116;001117;001120;001122;001125;001126;001127;001128;001130;001135;001136;001139;001140;001142;001146;001154;001156;001161;001163;001164;001166;001168;001171;001172;001173;001174;001175;001176;001178;001183;001184;001186;001187;001189;001190;001191;001192;001193;001194;001195;001197;001198;001199;001200;001202;001205;001214;001215;001217;001218;001219;001220;001221;001222;001228;001229;001232;001236;001237;001239;001240;001241;001242;001243;001244;001245;001248;001249;001250;001251;001252;001254;001255;001256;001257;001259;001260;001265;001268;001269;001270;001272;001275;001276;001280;001283;001284;001286;001289;001290;001292;001295;001299;001300;001301;001302;001303;001306;001307;001308;001309;001310;001314;001315;096020;096049;096053;004003;004009;004012;004019;004025;004029;004034;004037;004045;004046;004203;004059;004061;004078;004079;004082;004089;004090;004096;004110;004130;004143;004157;004166;004179;004203;004215;004222;004034;004237;004240;039014;072006;028055;023091;060019;007003;007020;007052;007073;009057;010009;010012;010025;011015
ACOS ENERGIA SPA,01967280064,01967280064,http://www.acosenergia.it,800085321,ACOS ENERGIA PLACET VARIABILE GAS - PARTITE IVA,000715GSVMP01XXGMPLACETAUSVAR000,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,09/01/2025,31/12/2034,non domestico,prezzo variabile,,144.000000,,0.300000,,,015011;015015;006002;006003;006009;006012;006014;006018;006019;006021;006022;006024;006025;006028;006029;006032;006033;006035;006037;006038;006039;006191;006043;006047;006049;006054;006058;006062;006063;006067;006069;006070;006071;006074;006075;006078;006079;006191;006081;006085;006088;006095;006100;006103;006104;006107;006108;006111;006112;006114;006119;006121;006126;006127;006131;006132;006138;006139;006140;006144;006146;006147;006148;006152;006157;006158;006160;006161;006162;006167;006168;006169;006170;006174;006176;006180;006181;006183;006190;006191
ACOS ENERGIA SPA,01967280064,01967280064,http://www.acosenergia.it,800085321,ACOS ENERGIA PLACET FISSA GAS - CONDOMINIO,000715GSFMP01XXGMPLACETCONFIS000,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,09/01/2025,31/12/2034,condominio,prezzo fisso,144.000000,,1.250000,,,,015011;015015;006002;006003;006009;006012;006014;006018;006019;006021;006022;006024;006025;006028;006029;006032;006033;006035;006037;006038;006039;006191;006043;006047;006049;006054;006058;006062;006063;006067;006069;006070;006071;006074;006075;006078;006079;006191;006081;006085;006088;006095;006100;006103;006104;006107;006108;006111;006112;006114;006119;006121;006126;006127;006131;006132;006138;006139;006140;006144;006146;006147;006148;006152;006157;006158;006160;006161;006162;006167;006168;006169;006170;006174;006176;006180;006181;006183;006190;006191
ACOS ENERGIA SPA,01967280064,01967280064,http://www.acosenergia.it,800085321,ACOS ENERGIA PLACET FISSA GAS - DOMESTICO,000715GSFMP01XXGMPLACETDOMFIS000,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,09/01/2025,31/12/2034,domestico,prezzo fisso,144.000000,,1.250000,,,,006002;006003;006009;006012;006014;006018;006019;006021;006022;006024;006025;006028;006029;006032;006033;006035;006037;006038;006039;006191;006043;006047;006049;006054;006058;006062;006063;006067;006069;006070;006071;006074;006075;006078;006079;006191;006081;006085;006088;006095;006100;006103;006104;006107;006108;006111;006112;006114;006119;006121;006126;006127;006131;006132;006138;006139;006140;006144;006146;006147;006148;006152;006157;006158;006160;006161;006162;006167;006168;006169;006170;006174;006176;006180;006181;006183;006190;015011;015015;006191
ACOS ENERGIA SPA,01967280064,01967280064,http://www.acosenergia.it,800085321,ACOS ENERGIA PLACET FISSA GAS - PARTITE IVA,000715GSFMP01XXGMPLACETAUSFIS000,,Offerta attivabile da qualsiasi canale;Offerta attivabile presso punto vendita,Domiciliazione bancaria;Domiciliazione postale;Bollettino precompilato;Altro,09/01/2025,31/12/2034,non domestico,prezzo fisso,144.000000,,1.250000,,,,015011;015015;006002;006003;006009;006012;006014;006018;006019;006021;006022;006024;006025;006028;006029;006032;006033;006035;006037;006038;006039;006191;006043;006047;006049;006054;006058;006062;006063;006067;006069;006070;006071;006074;006075;006078;006079;006191;006081;006085;006088;006095;006100;006103;006104;006107;006108;006111;006112;006114;006119;006121;006126;006127;006131;006132;006138;006139;006140;006144;006146;006147;006148;006152;006157;006158;006160;006161;006162;006167;006168;006169;006170;006174;006176;006180;006181;006183;006190;006191
