operatorLogoUrl,operatorKey,operatorLabel,operatorLabelLong,operatorTooltip,operatorCountryKey,operatorCountryLabel,operatorCountryFlag,operatorTypeLabel,operatorTypeLabelLong,participates,membershipLabel,tsoEicCode,tsoDisplayName,tsoShortName,tsoLongName,tsoStreet,tsoBuildingNumber,tsoPostOfficeBox,tsoZipCode,tsoCity,tsoContactName,tsoContactPhone,tsoContactEmail,tsoContactUrl,tsoContactRemarks,tsoGeneralWebsiteUrl,tsoGeneralWebsiteUrlRemarks,tsoTariffInformationUrl,tsoTariffInformationUrlRemarks,tsoTariffCalculatorUrl,tsoTariffCalculatorUrlRemarks,tsoCapacityInformationUrl,tsoCapacityInformationUrlRemarks,tsoGasQualityURL,tsoGasQualityURLRemarks,tsoAccessConditionsUrl,tsoAccessConditionsUrlRemarks,tsoContractDocumentsUrl,tsoContractDocumentsUrlRemarks,tsoMaintainanceUrl,tsoMaintainanceUrlRemarks,gasDayStartHour,gasDayStartHourRemarks,multiAnnualContractsIsAvailable,multiAnnualContractsRemarks,annualContractsIsAvailable,annualContractsRemarks,halfAnnualContractsIsAvailable,halfAnnualContractsRemarks,quarterlyContractsIsAvailable,quarterlyContractsRemarks,monthlyContractsIsAvailable,monthlyContractsRemarks,dailyContractsIsAvailable,dailyContractsRemarks,withinDayContractsIsAvailable,withinDayContractsRemarks,availableContractsRemarks,firmCapacityTariffIsApplied,firmCapacityTariffUnit,firmCapacityTariffRemarks,interruptibleCapacityTariffIsApplied,interruptibleCapacityTariffUnit,interruptibleCapacityTariffRemarks,auctionIsApplied,auctionTariffIsApplied,auctionCapacityTariffUnit,auctionRemarks,commodityTariffIsApplied,commodityTariffUnit,commodityTariffPrice,commodityTariffRemarks,othersTariffIsApplied,othersTariffRemarks,generalTariffInformationRemarks,generalCapacityRemark,firstComeFirstServedIsApplied,firstComeFirstServedRemarks,openSubscriptionWindowIsApplied,openSubscriptionWindowRemarks,firmTechnicalRemark,firmBookedRemark,firmAvailableRemark,interruptibleTotalRemark,interruptibleBookedRemark,interruptibleAvailableRemark,tsoGeneralRemarks,balancingModel,bMHourlyImbalanceToleranceIsApplied,bMHourlyImbalanceToleranceIsInformation,bMHourlyImbalanceToleranceIsRemarks,bMDailyImbalanceToleranceIsApplied,bMDailyImbalanceToleranceIsInformation,bMDailyImbalanceToleranceIsRemarks,bMAdditionalDailyImbalanceToleranceIsApplied,bMAdditionalDailyImbalanceToleranceIsInformation,bMAdditionalDailyImbalanceToleranceIsRemarks,bMCumulatedImbalanceToleranceIsApplied,bMCumulatedImbalanceToleranceIsInformation,bMCumulatedImbalanceToleranceIsRemarks,bMAdditionalCumulatedImbalanceToleranceIsApplied,bMAdditionalCumulatedImbalanceToleranceIsInformation,bMAdditionalCumulatedImbalanceToleranceIsRemarks,bMStatusInformation,bMStatusInformationFrequency,bMPenalties,bMCashOutRegime,bMRemarks,gridTransportModelType,gridTransportModelTypeRemarks,gridConversionFactorCapacityDefault,gridConversionFactorCapacityDefaultRemaks,gridGrossCalorificValueDefaultValue,gridGrossCalorificValueDefaultValueTo,gridGrossCalorificValueDefaultUnit,gridGrossCalorificValueDefaultRemarks,gridGasSourceDefault,lastUpdateDateTime,transparencyInformationURL,transparencyInformationUrlRemarks,transparencyGuidelinesInformationURL,transparencyGuidelinesInformationUrlRemarks,tsoUmmRssFeedUrlGas,tsoUmmRssFeedUrlOther,includeUmmInAcerRssFeed,id,dataSet
https://entsog.eu/sites/default/files/inline-images/TAP_Logo.jpeg,AL-TSO-0001,"TAP AG","Trans Adriatic Pipeline AG","Trans Adriatic Pipeline AG|21X000000001376X",CH,Switzerland,,TSO,"Transmission System Operator for Gas",1,Partner,21X000000001376X,,,,"Lindenstrasse 2",2,,6340,Baar,,,commercial@tap-ag.com,https://www.tap-ag.com/contact-us,,https://www.tap-ag.com/,,https://www.tap-ag.com/shippers/tariff-information,"Regulation (EU) 2017/460, Article 29&30 Information",https://www.tap-ag.com/shippers/tariff-information/tariff-calculator,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",https://www.tap-ag.com/shippers/capacity-products,,https://www.tap-ag.com/transparency/transparency-requirements,"Regulation (EU) No 2015/703, Article 16 information",https://www.tap-ag.com/shippers/market-tests,,https://www.tap-ag.com/shippers/contractual-arrangement-with-shippers,,https://www.tap-ag.com/transparency/maintenance-calendar-and-exceptional-events,,6,,,"TAP has in place 25  years GTAs and we will offer multiannual contracts through the Market Test procedure. ",,"TAP offers annual products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.",,,,"TAP offers quarterly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar",,"TAP offers monthly products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar.",1,"TAP offers daily products through the PRISMA Capacity Booking Platform according to the ENTSOG auction calendar",,"TAP currently does not offer WD capacity products.",,1,EUR/KWh/d/y,,1,EUR/KWh/d/y,,1,1,EUR/KWh/d/runtime,,,,,,1,"Usage charges and balancing charges perceived as per TAP Network Code.",,,,"Not foreseen for the primary capacity allocation.",,"Not foreseen for the primary capacity allocation.","Firm capacity may only be interrupted in cases of force majeure, planned and unplanned maintenance. Firm technical refers to the maximum capacity that the TSO can offer.","Firm booked refers to the capacity that has been contracted.","Firm available is the result of the difference between Firm Technical and Firm Booked.","Capacity that may be interrupted by the transmission system operator in accordance with the conditions stipulated in the Gas Transportation Agreement. TAP offers the following types of interruptible capacity: (1) commercial reverse capacity and (2) forward day ahead interruptible.","Interruptible booked refers to the commercial reverse and forward day ahead interruptible capacity that has been contracted.","Commercial reverse capacity is calculated according to the unsold forward firm capacity. Forward day-ahead interruptible capacity available is the amount of forward firm capacity which was unused by the shippers.",,"Daily ",,,,,,,,,,,,,,,,"Shippers' daily balancing position is communicated to each shipper at the end of each hour.",Hourly,"TAP implements balancing charges","Balancing charges are settled at the end of the day, but paid at the end of the gas month through the monthly invoicing process.",,"Entry-Exit and Point to Point ","TAP applies the Entry-Exit for forward capacity and Point to Point model for commercial reverse capacity.",1,"TAP markets capacity in KWh/d",36.84,47.73,MJ/nm3,"Range of TAP GCV as provided in TAP Network Code",Azerbaijan,"2026-07-22 00:16",https://www.tap-ag.com/transparency/transparency-requirements,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",https://www.tap-ag.com/transparency/remit/downloadrss,https://www.tap-ag.com/transparency/remit/downloadrss,1,1AL-TSO-0001,1
,AL-TSO-0002,TEE,"Trans-European Energy B.V., Sh.A.","Trans-European Energy B.V., Sh.A.|                ",AL,Albania,,LSO,"LNG System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AL-TSO-0002,1
,AL-TSO-0003,"MIE Albania & Albgaz","MIE Albania & Albgaz","MIE Albania & Albgaz|10YAL-COMP-----O",AL,Albania,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AL-TSO-0003,1
,AL-TSO-0004,Albgaz,"Albgaz Sha","Albgaz Sha|                ",AL,Albania,,TSO,"Transmission System Operator for Gas",0,Observer,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AL-TSO-0004,1
,AL-TSO-0005,ALKOGAP,"Albania - Kosovo Gas Pipeline Operator","Albania - Kosovo Gas Pipeline Operator|                ",AL,Albania,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AL-TSO-0005,1
http://www.entsog.eu/public/images/TP/Logo_cegh.png,AT-BRP-0001,CEGH,"Central European Gas Hub AG","Central European Gas Hub AG|21X000000001062J",AT,Austria,,BRP,"Balance Responsible Party",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-BRP-0001,1
http://www.entsog.eu/public/images/TP/logo_vkw.png,AT-DSO-0001,"Vorarlberger Erdgas","Vorarlberger Erdgas GmbH","Vorarlberger Erdgas GmbH|                ",AT,Austria,,DSO,"Distribution System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-DSO-0001,1
http://www.entsog.eu/public/images/TP/logo_RAG.png,AT-SSO-0001,RAG,"RAG Austria AG","RAG Austria AG|23X----100225-1C",AT,Austria,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-SSO-0001,1
http://www.entsog.eu/public/images/TP/logo_OMV.png,AT-SSO-0002,"OMV Gas Storage","OMV Gas Storage GmbH","OMV Gas Storage GmbH|25X-OMVGASSTORA5",AT,Austria,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-SSO-0002,1
https://www.entsog.eu/sites/default/files/2023-09/GCA_rgb.png,AT-TSO-0001,GCA,"GAS CONNECT AUSTRIA GmbH","GAS CONNECT AUSTRIA GmbH|21X-AT-B-A0A0A-K",AT,Austria,,TSO,"Transmission System Operator for Gas",1,Member,21X-AT-B-A0A0A-K,,,,"Floridsdorfer Hauptstrasse",1,,1210,Vienna,"GAS CONNECT AUSTRIA GmbH",+4312750088000,sales@gasconnect.at,www.gasconnect.at,,http://www.gasconnect.at,,https://www.e-control.at/marktteilnehmer/gas/netzzugang-tarifierung,"Regulation (EU) 2017/460, Article 29&30 Information",https://www.gasconnect.at/en/network-access/transmission-network/tariffs/,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",https://www.gasconnect.at/en/network-access/transmission-network/capacities/,,,"Regulation (EU) No 2015/703, Article 16 information",https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/,,https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/,,https://www.gasconnect.at/en/network-information/network-development/maintenance/,,6,,,,1,,,,1,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",1,"Monthly contracts are starting with 01 of relevant month",,,1,,,1,€/kWh/h/y,,1,€/kWh/h/y,,1,1,€/kWh/h/y,,,,,"Fuel gas included in tariff",,,,,,,,,,,,,,,,Daily,1,-,"For further information please refer to our ""Standard Transportation Contract"" and ""GTC"" at our webpage on https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/",1,-,"For further information please refer to our ""Standard Transportation Contract"" and ""GTC"" at our webpage on https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/",1,-,"For further information please refer to our ""Standard Transportation Contract"" and ""GTC"" at our webpage on https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/",1,-,"For further information please refer to our ""Standard Transportation Contract"" and ""GTC"" at our webpage on https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/",1,-,"For further information please refer to our ""Standard Transportation Contract"" and ""GTC"" at our webpage on https://www.gasconnect.at/en/network-access/transmission-network/contracts-and-gtc/","Data available for each customer via our homepage.",Hourly,"Structuring fee of 4 Euro/MWh is applied for hourly imbalance","Daily imbalances are settled each hour by MAM with a rest-of-day profile, and cashed out using the clearing price for this hour","Balancing at TSO level is done ex-ante (nominations) and is coordinated by the Market Area Manager. Refer to https://platform.aggm.at/mgm/index.do for more information",Entry-Exit,,1,,11.19,,kWh/Nm³,,,"2026-07-22 00:16",https://www.gasconnect.at/en/network-access/transparency-information/,,https://www.gasconnect.at/en/network-access/transparency-information/,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-TSO-0001,1
http://www.entsog.eu/public/images/TP/logo_bog.png,AT-TSO-0002,BOG,BOG,BOG|21X-AT-A-A0A0A-T,AT,Austria,,TSO,"Transmission System Operator for Gas",0,Deactivated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1AT-TSO-0002,1
