operatorLogoUrl,operatorKey,operatorLabel,operatorLabelLong,operatorTooltip,operatorCountryKey,operatorCountryLabel,operatorCountryFlag,operatorTypeLabel,operatorTypeLabelLong,participates,membershipLabel,tsoEicCode,tsoDisplayName,tsoShortName,tsoLongName,tsoStreet,tsoBuildingNumber,tsoPostOfficeBox,tsoZipCode,tsoCity,tsoContactName,tsoContactPhone,tsoContactEmail,tsoContactUrl,tsoContactRemarks,tsoGeneralWebsiteUrl,tsoGeneralWebsiteUrlRemarks,tsoTariffInformationUrl,tsoTariffInformationUrlRemarks,tsoTariffCalculatorUrl,tsoTariffCalculatorUrlRemarks,tsoCapacityInformationUrl,tsoCapacityInformationUrlRemarks,tsoGasQualityURL,tsoGasQualityURLRemarks,tsoAccessConditionsUrl,tsoAccessConditionsUrlRemarks,tsoContractDocumentsUrl,tsoContractDocumentsUrlRemarks,tsoMaintainanceUrl,tsoMaintainanceUrlRemarks,gasDayStartHour,gasDayStartHourRemarks,multiAnnualContractsIsAvailable,multiAnnualContractsRemarks,annualContractsIsAvailable,annualContractsRemarks,halfAnnualContractsIsAvailable,halfAnnualContractsRemarks,quarterlyContractsIsAvailable,quarterlyContractsRemarks,monthlyContractsIsAvailable,monthlyContractsRemarks,dailyContractsIsAvailable,dailyContractsRemarks,withinDayContractsIsAvailable,withinDayContractsRemarks,availableContractsRemarks,firmCapacityTariffIsApplied,firmCapacityTariffUnit,firmCapacityTariffRemarks,interruptibleCapacityTariffIsApplied,interruptibleCapacityTariffUnit,interruptibleCapacityTariffRemarks,auctionIsApplied,auctionTariffIsApplied,auctionCapacityTariffUnit,auctionRemarks,commodityTariffIsApplied,commodityTariffUnit,commodityTariffPrice,commodityTariffRemarks,othersTariffIsApplied,othersTariffRemarks,generalTariffInformationRemarks,generalCapacityRemark,firstComeFirstServedIsApplied,firstComeFirstServedRemarks,openSubscriptionWindowIsApplied,openSubscriptionWindowRemarks,firmTechnicalRemark,firmBookedRemark,firmAvailableRemark,interruptibleTotalRemark,interruptibleBookedRemark,interruptibleAvailableRemark,tsoGeneralRemarks,balancingModel,bMHourlyImbalanceToleranceIsApplied,bMHourlyImbalanceToleranceIsInformation,bMHourlyImbalanceToleranceIsRemarks,bMDailyImbalanceToleranceIsApplied,bMDailyImbalanceToleranceIsInformation,bMDailyImbalanceToleranceIsRemarks,bMAdditionalDailyImbalanceToleranceIsApplied,bMAdditionalDailyImbalanceToleranceIsInformation,bMAdditionalDailyImbalanceToleranceIsRemarks,bMCumulatedImbalanceToleranceIsApplied,bMCumulatedImbalanceToleranceIsInformation,bMCumulatedImbalanceToleranceIsRemarks,bMAdditionalCumulatedImbalanceToleranceIsApplied,bMAdditionalCumulatedImbalanceToleranceIsInformation,bMAdditionalCumulatedImbalanceToleranceIsRemarks,bMStatusInformation,bMStatusInformationFrequency,bMPenalties,bMCashOutRegime,bMRemarks,gridTransportModelType,gridTransportModelTypeRemarks,gridConversionFactorCapacityDefault,gridConversionFactorCapacityDefaultRemaks,gridGrossCalorificValueDefaultValue,gridGrossCalorificValueDefaultValueTo,gridGrossCalorificValueDefaultUnit,gridGrossCalorificValueDefaultRemarks,gridGasSourceDefault,lastUpdateDateTime,transparencyInformationURL,transparencyInformationUrlRemarks,transparencyGuidelinesInformationURL,transparencyGuidelinesInformationUrlRemarks,tsoUmmRssFeedUrlGas,tsoUmmRssFeedUrlOther,includeUmmInAcerRssFeed,id,dataSet
,IT-ETO-0001,Snam4Mobility,"Snam4Mobility S.p.A.","Snam4Mobility S.p.A.|                ",IT,Italy,,ETO,"Energy Transition Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-ETO-0001,1
http://www.entsog.eu/public/images/TP/logo_stogit.png,IT-SSO-0001,"Snam Stoccaggio SpA","Snam Stoccaggio SpA","Snam Stoccaggio SpA|                ",IT,Italy,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-SSO-0001,1
https://www.entsog.eu/sites/default/files/styles/large/public/2025-03/StogitAdriatica.png,IT-SSO-0002,"Stogit Adriatica","Stogit Adriatica","Stogit Adriatica|26X00000003791-T",IT,Italy,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-SSO-0002,1
,IT-SSO-0003,"ITAL Gas Storage","ITAL Gas Storage S.r.l.","ITAL Gas Storage S.r.l.|                ",IT,Italy,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-SSO-0003,1
http://www.entsog.eu/public/images/TP/logo_Geogastock.png,IT-SSO-0004,Geogastock,"Geogastock S.p.A.","Geogastock S.p.A.|                ",IT,Italy,,SSO,"Storage System Operator",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-SSO-0004,1
https://www.entsog.eu/sites/default/files/inline-images/image_3.png,IT-TSO-0001,"SNAM RETE GAS","Snam Rete Gas","Snam Rete Gas|21X-IT-A-A0A0A-7",IT,Italy,,TSO,"Transmission System Operator for Gas",1,Member,21X-IT-A-A0A0A-7,,,,"Piazza Santa Barbara",7,,20097,"San Donato Milanese (MI)","Snam Rete Gas","+39 02 37031",relazioni.esterne@snam.it,http://www.snam.it/en/transportation/Online_Processes/Capacita/procedure-module/capacity-booking-transactions/index.html,http://www.snam.it/en/transportation/Online_Processes/Capacita/procedure-module/capacity-booking-transactions/index.html,http://www.snam.it/en/index.html,"Snam Rete Gas is a company of Snam, an integrated group heading the regulated gas sector in Italy and a major player in Europe.",http://www.snam.it/en/transportation/network-code-tariffs/Gas_transmission_tariffs/index-2018.html,"Regulation (EU) 2017/460, Article 29&30 Information",http://www.snam.it/en/transportation/Online_Services/transmission_tariff_calculation/2018/index.html,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",http://www.snam.it/en/transportation/Online_Processes/Capacita/information/transportation-capacity/index.html,,https://www.snam.it/en/our-businesses/transportation/operational-data-business/phisical-flows-on-the-national-network.html,"Regulation (EU) No 2015/703, Article 16 information",http://www.snam.it/en/transportation/Online_Processes/Capacita/procedure-module/capacity-booking-transactions/index.html,,http://www.snam.it/en/transportation/network-code-tariffs/Network_Code/Aree/Codice_di_rete.html,,http://www.snam.it/en/transportation/Online_Processes/Capacita/information/operating-interruption-plans/3_piani-eser-inter.html,,6,,,,,,,,,,,,,,,,,1,EUR/Y/KWH/D,"The tariffs for the current year, approved by the NRA with resolution n.795/2017/R/gas, are available at: http://www.snam.it/ -> Business &Services -> Network Code, Tariffs and Committee Area -> Gas transmissiontariffs  -> 02. Gas transmission tariffs (do",1,EUR/Y/KWH/D,"Information about interruptible contracts available at:http://www.snam.it/ -> Business & Services -> Network Code, Tariffs andCommittee Area-> Gas transmission tariffs  -> 02. Gas transmissiontariffs (download PDF file)",1,1,CEUR/Y/KWH/D,"In application of NRA resolution n. 137/2002/R/gas, auction is used for allocation of day-ahead capacity through a uniform price algorithm at all Interconnection Points.",1,EUR/KWH,0.00032,"Commodity charge is applied to gas intake at entry points (excludingstorages).",1,"To cover general burdens of gas system, extra charges could be introduced by NRA.Information available at: http://www.snam.it/en -> Business & Services -> Network Code, Tariffs and Committee Area -> Gas transmission tariffs -> 03. Supplementary charges (download PDF file)","Percentages to cover fuel gas, network losses and unaccounted for gasfor the current year available at: http://www.snam.it/ -> Business &Services -> Network Code, Tariffs and Committee Area-> Gas transmissiontariffs  -> 02. Gas transmission tariffs (downl","Capacities in kWh/d are indicative and for information purposes only as SRG markets capacity in Sm3/d. The conversion factors used are differentiated per point on the basis of the average of the actual GCVs observed during the previous calendar year.",,FIRSTCOMREM,1,OPENSUBREM,FIRMTECHNICALREM,FIRMBOKKEDREMARK,FIRMAVAILABLEREM,INTERRTOTREM,INTERBOOKREM,INTERAVAIBLEREM,"Please see the remarks for more information.",Daily,,HOURLYIMBALANCETOLERANCE,REMARK1,,DAILYIMBALANCETOLERANCE,REMARK2,,ADDITIONALDAILYIMBALANCETOLERANCE,REMARK3,,CUMULATEDIMBALANCETOLERANCE,REMARK4,,ADDITIONALCUMULATEDIMBALANCETOLERANCE,REMARK5,REMARK5,BALANCINGSTATUS2,BALANCINGPENALTIES,CASHOUTREGIME,REMARKGENERALEBALANCING,Entry-Exit,,1,"SRG markets its capacity in Sm3/d. This conversion factor applies to convert capacity data from Sm3/d to kWh/d",0,45.28,kWh/Nm3,"GCV range accepted into SRG network according to N",Other,"2026-07-22 00:16","http://www.snam.it/en/transportation/UE-fulfillments-reporting/transparency_template_reg_715-2009/ ",,https://www.snam.it/en/our-businesses/transportation/operational-data-business/phisical-flows-on-the-national-network.html,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",https://www.snam.it/en/api/entsog/umm.json,https://www.snam.it/en/api/entsog/omm.json,1,1IT-TSO-0001,1
,IT-TSO-0002,Galsi,"Galsi S.p.A.","Galsi S.p.A.|                ",IT,Italy,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0002,1
https://entsog.eu/sites/default/files/inline-images/SGI_logo.png,IT-TSO-0003,"S.G.I. S.p.A.","Società Gasdotti Italia S.p.A.","Società Gasdotti Italia S.p.A.|59X0000000000462",IT,Italy,,TSO,"Transmission System Operator for Gas",1,Member,59X0000000000462,,,,"Via dei Salci",25,,03100,"Frosinone (FR)",,"+39 077588601",commerciale@sgispa.com,,,http://www.gasdottitalia.it/en,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0003,1
https://www.entsog.eu/sites/default/files/2023-09/logo_itg.png,IT-TSO-0004,"Infrastrutture Trasporto Gas","Infrastrutture Trasporto Gas S.p.a.","Infrastrutture Trasporto Gas S.p.a.|21X000000001359X",IT,Italy,,TSO,"Transmission System Operator for Gas",1,Member,21X000000001359X,,,,"Via Nino Bonnet",6/A,,20154,Milano,"Alberta Aimola","02 99 26 5610",trasporto@infrastrutturetg.it,http://www.infrastrutturetg.it,,http://www.infrastrutturetg.it,,http://www.infrastrutturetg.it/en/il-trasporto,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",http://www.infrastrutturetg.it/en/il-trasporto,,http://rsitg01.cloudapp.net/,"Regulation (EU) No 2015/703, Article 16 information",http://www.infrastrutturetg.it/en/il-trasporto,,http://www.infrastrutturetg.it/en/il-trasporto,,http://www.infrastrutturetg.it/en/il-trasporto,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Tariffs are applicable through transmission tariffs of Snam Rete Gas",,,,1,,,,,,,,"Commercial operations at the Cavarzere entry point are managed by Snam Rete Gas on the basis of an agreement with Infrastrutture Trasporto Gas. These operations include capacity allocation and management, booking, nomination, renomination and commercial balancing.",Daily,,,,,,,,,,,,,,,,,,,,"Commercial balancing is managed by Snam Rete Gas",Entry-Exit,,1.056,"1Nm3  = 1.056 Sm3",3.6,,MJ/Sm3,"KWh/Sm3  = 3,6 MJ/Sm3",,"2026-07-22 00:16",http://www.infrastrutturetg.it/en/node/313,,http://www.infrastrutturetg.it/en/node/313,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0004,1
,IT-TSO-0005,ENURA,"ENURA S.p.A.","ENURA S.p.A.|                ",IT,Italy,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0005,1
,IT-UTI-0001,"Nuove Energie","Nuove Energie S.r.l.","Nuove Energie S.r.l.|                ",IT,Italy,,UTI,"Utility Company",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-UTI-0001,1
,IT-TSO-0006,"BTP INFRASTRUTTURE","BTP INFRASTRUTTURE SpA","BTP INFRASTRUTTURE SpA|                ",IT,Italy,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0006,1
,IT-TSO-0007,CT,CiaoTech,"CiaoTech|                ",IT,Italy,,TSO,"Transmission System Operator for Gas",0,Unaffiliated,,,,,,,,,,,,,,,,,,"Regulation (EU) 2017/460, Article 29&30 Information",,"Regulation (EC) No 715/2009, Annex I Point 3.4.(6) information",,,,"Regulation (EU) No 2015/703, Article 16 information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026-07-22 00:16",,,,"Regulation (EC) No 715/2009, Annex I Chapter 3 information",,,,1IT-TSO-0007,1
