time,time_label,geo,geo_label,na_item,na_item_label,unit,unit_label,freq,freq_label,OBS_VALUE
1995,1995,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,131805.2
1996,1996,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,133521.0
1997,1997,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,139614.4
1998,1998,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,144422.6
1999,1999,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,148411.8
2000,2000,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,154842.5
2001,2001,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,158986.8
2002,2002,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,157886.5
2003,2003,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,158445.9
2004,2004,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,158535.0
2005,2005,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,159745.0
2006,2006,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,160713.2
2007,2007,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,161380.0
2008,2008,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,156940.5
2009,2009,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,152011.0
2010,2010,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,151106.1
2011,2011,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,150724.1
2012,2012,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,142119.2
2013,2013,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,136589.3
2014,2014,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137214.5
2015,2015,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137709.2
2016,2016,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,138225.9
2017,2017,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137862.8
2018,2018,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137043.8
2019,2019,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,134839.3
2020,2020,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,118055.1
2021,2021,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,127920.0
2022,2022,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,135802.4
2023,2023,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137153.9
2024,2024,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,139987.7
2025,2025,IT,Italy,D21,Taxes on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,142792.8
1995,1995,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,126218.1
1996,1996,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,127678.0
1997,1997,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,133539.3
1998,1998,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,137942.5
1999,1999,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,141314.2
2000,2000,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,146760.3
2001,2001,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,150829.3
2002,2002,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,149774.5
2003,2003,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,150224.9
2004,2004,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,149873.8
2005,2005,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,150713.0
2006,2006,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,151595.5
2007,2007,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,152141.4
2008,2008,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,147983.9
2009,2009,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,143124.2
2010,2010,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,141724.7
2011,2011,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,141651.4
2012,2012,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,133661.0
2013,2013,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,127813.9
2014,2014,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,128528.9
2015,2015,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,129190.6
2016,2016,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,129425.1
2017,2017,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,129026.9
2018,2018,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,128378.7
2019,2019,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,126084.4
2020,2020,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,109133.6
2021,2021,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,118559.6
2022,2022,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,123111.6
2023,2023,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,124186.7
2024,2024,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,127999.8
2025,2025,IT,Italy,D21X31,Taxes less subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,130132.7
1995,1995,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,6336.9
1996,1996,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,6496.9
1997,1997,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,6779.4
1998,1998,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,7112.2
1999,1999,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,7531.4
2000,2000,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8241.2
2001,2001,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8374.0
2002,2002,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8323.4
2003,2003,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8410.7
2004,2004,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8714.1
2005,2005,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9032.0
2006,2006,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9117.6
2007,2007,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9263.0
2008,2008,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8977.7
2009,2009,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8911.8
2010,2010,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9296.9
2011,2011,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9028.6
2012,2012,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8408.9
2013,2013,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8789.4
2014,2014,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8685.7
2015,2015,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8512.1
2016,2016,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8815.0
2017,2017,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8858.5
2018,2018,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8673.0
2019,2019,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,8780.1
2020,2020,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9151.1
2021,2021,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,9573.8
2022,2022,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,13164.2
2023,2023,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,13487.0
2024,2024,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,11863.5
2025,2025,IT,Italy,D31,Subsidies on products,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,12771.8
1995,1995,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,992360.7
1996,1996,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1003059.1
1997,1997,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1031036.7
1998,1998,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1063030.8
1999,1999,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1089044.4
2000,2000,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1120609.1
2001,2001,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1140724.7
2002,2002,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1144382.7
2003,2003,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1154320.7
2004,2004,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1164934.1
2005,2005,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1177858.5
2006,2006,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1187669.6
2007,2007,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1198862.8
2008,2008,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1193318.1
2009,2009,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1181126.2
2010,2010,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1188662.9
2011,2011,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1183514.2
2012,2012,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1144420.9
2013,2013,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1121852.2
2014,2014,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1122622.5
2015,2015,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1137908.7
2016,2016,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1148084.6
2017,2017,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1159481.3
2018,2018,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1163921.0
2019,2019,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1162545.8
2020,2020,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1069745.5
2021,2021,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1122183.6
2022,2022,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1168405.8
2023,2023,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1176092.2
2024,2024,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1191110.5
2025,2025,IT,Italy,P3,Final consumption expenditure,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,1202393.3
1995,1995,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,138665.3
1996,1996,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,140613.7
1997,1997,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,142301.1
1998,1998,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,143221.4
1999,1999,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,145333.9
2000,2000,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,150847.0
2001,2001,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,159176.2
2002,2002,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,162156.9
2003,2003,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,163833.6
2004,2004,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,166554.5
2005,2005,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,169107.0
2006,2006,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,169579.1
2007,2007,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,171032.8
2008,2008,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,171044.8
2009,2009,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,172430.3
2010,2010,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,171818.9
2011,2011,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,167202.3
2012,2012,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,163971.6
2013,2013,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,162317.9
2014,2014,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,164199.9
2015,2015,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,165991.5
2016,2016,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,166878.2
2017,2017,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,168553.9
2018,2018,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,170509.7
2019,2019,IT,Italy,P31_S13,Individual consumption expenditure of general government,CLV05_MEUR,"Chain linked volumes (2005), million euro",A,Annual,169503.7
